address,name,phone,website,url
"Edgewater, WA 6027",St John Joondalup,+61894007000,https://www.stjohnhealth.com.au/contact-us/joondalup/,https://www.hotdoc.com.au/medical-centres/edgewater-WA-6027/apollo-health-joondalup/doctors
"51-55 Dundas PlaceAlbert Park, VIC 3206",Albert Park Medical Centre,+61396998044,https://apmed.com.au,https://www.hotdoc.com.au/medical-centres/albert-park-VIC-3206/albert-park-medical-centre/doctors
"245 Hampton StreetHampton North, VIC 3188",Southend Medical Centre,+61395987688,http://www.southendmedical.com.au,https://www.hotdoc.com.au/medical-centres/hampton-north-VIC-3188/southend-medical-centre/doctors
"16 Ferguson RoadSpringwood, NSW 2777",Balance! Springwood Family Practice,+61247511233,http://www.balancehealthclinic.com.au/,https://www.hotdoc.com.au/medical-centres/springwood-NSW-2777/balance-springwood-family-practice/doctors
"Cockburn Gateway Shopping City, 816 Beeliar DriveSuccess, WA 6164",St John Cockburn,+61861746000,https://www.stjohnhealth.com.au/,https://www.hotdoc.com.au/medical-centres/success-WA-6164/apollo-health-cockburn/doctors
"5 Walker RoadEdmonton, QLD 4869",Balance! Edmonton Family Practice,+61740554400,http://www.balancehealthclinic.com.au/section/clinic_locations/54-edmonton,https://www.hotdoc.com.au/medical-centres/edmonton-QLD-4869/balance-edmonton-family-practice/doctors
"5 Murphy StCorrigin, WA 6375",Corrigin Doctors Surgery,+61890632107,N/A,https://www.hotdoc.com.au/medical-centres/corrigin-WA-6375/corrigin-doctors-surgery/doctors
"5/102 Toorak RdSouth Yarra, VIC 3141",South Yarra Medical,+61398201144,http://www.southyarramedical.com.au/,https://www.hotdoc.com.au/medical-centres/south-yarra-VIC-3141/south-yarra-richmond-medical/doctors
"7-9 Thuringowa DriveThuringowa Central, QLD 4817",Kirwan GP Clinic,+61747235700,http://www.kirwangpclinic.com.au/,https://www.hotdoc.com.au/medical-centres/thuringowa-central-QLD-4817/kirwan-gp-clinic/doctors
"393 New StreetBrighton, VIC 3186",New Street Medical Centre,+61395959777,http://newstreet.com.au,https://www.hotdoc.com.au/medical-centres/brighton-VIC-3186/new-street-medical-centre/doctors
"127 Link RoadVictoria Point, QLD 4165",Sunstate Family Practice,+61732077744,http://www.sunstatefamilypractice.com.au,https://www.hotdoc.com.au/medical-centres/victoria-point-QLD-4165/sunstate-family-practice/doctors
"2 Wellington ParadeEast Melbourne, VIC 3002",Sinclair Dermatology-East Melbourne,N/A,http://www.sinclairdermatology.com.au/,https://www.hotdoc.com.au/medical-centres/east-melbourne-VIC-3002/sinclair-dermatology-east-melbourne/doctors
"206 - 214 Philip StreetGladstone, QLD 4680",Gladstone GP Superclinic,+61749787868,http://www.gladstonegpsuperclinic.com.au,https://www.hotdoc.com.au/medical-centres/gladstone-QLD-4680/gladstone-gp-superclinic/doctors
"Whitsunday Plaza, Shop B6, 8 Galbraith Park DiveCannonvale, QLD 4802",Whitsunday Family Practice,49483323,http://www.whitsundayfamilypractice.com.au,https://www.hotdoc.com.au/medical-centres/cannonvale-QLD-4802/whitsunday-family-practice/doctors
"Unit 3, 77-79 Port RoadKadina, SA 5554",Kadina Medical Associates,+61888213133,http://www.kadinamedical.com.au,https://www.hotdoc.com.au/medical-centres/kadina-SA-5554/kadina-medical-associates1/doctors
"1/258 Warrigal RdRuncorn, QLD 4113",Runcorn Plaza Family Medical Practice,+61738418099,http://www.runcornmedical.com.au,https://www.hotdoc.com.au/medical-centres/runcorn-QLD-4113/runcorn-plaza-family-medical-practice/doctors
"34 Landsborough ParadeGolden Beach, QLD 4551",Golden Beach Medical Centre,+61754921044,http://goldenbeachmedicalcentre.com.au,https://www.hotdoc.com.au/medical-centres/golden-beach-QLD-4551/golden-beach-medical-centre/doctors
"50 Radovick StreetKorumburra, VIC 3950",Korumburra Medical Centre,+61356551355,http://www.korumburramedical.com.au,https://www.hotdoc.com.au/medical-centres/korumburra-VIC-3950/korumburra-medical-centre/doctors
"68 Jackson CourtDoncaster East, VIC 3109",Jackson Court Clinic,+61398558655,http://drthompsonassociates.com.au,https://www.hotdoc.com.au/medical-centres/doncaster-east-VIC-3109/jackson-court-clinic/doctors
"670 Chapel Street (Entrance at Corner of Chapel St & Malcolm St)South Yarra, VIC 3141",Vogue Medical,98287500,http://www.voguemedical.com.au,https://www.hotdoc.com.au/medical-centres/south-yarra-VIC-3141/vogue-medical/doctors
"34 Station StreetPakenham, VIC 3810",Station Street Clinic,+61359411611,http://www.stationstreetclinic.com.au,https://www.hotdoc.com.au/medical-centres/pakenham-VIC-3810/station-street-clinic/doctors
"26 Carpenter StreetBrighton, VIC 3186",Brighton Medical Clinic,+61395920222,http://www.brightonmedical.com.au,https://www.hotdoc.com.au/medical-centres/brighton-VIC-3186/brighton-medical-clinic/doctors
"767 Nepean HighwayBrighton East, VIC 3187",Brighton Family & Women's Clinic,+61395165100,http://www.brightonfwc.com.au,https://www.hotdoc.com.au/medical-centres/brighton-east-VIC-3187/brighton-family-women-s-clinic/doctors
"Shop 2.6A Yeronga Village Shopping Centre, 429 Fairfield RoadYeronga, QLD 4104",Yeronga Medical Centre,+61738484363,http://www.yerongamedicalcentre.com.au,https://www.hotdoc.com.au/medical-centres/yeronga-QLD-4104/yeronga-medical-centre/doctors
"16 Park StreetGeelong, VIC 3220",Park Street General Practice,+61352232722,http://www.parkstgp.com.au,https://www.hotdoc.com.au/medical-centres/geelong-VIC-3220/park-street-general-practice/doctors
"210A Broadway ReservoirReservoir, VIC 3073",Doctors on Broadway,+61394620100,http://www.dobmedical.com.au/index.html,https://www.hotdoc.com.au/medical-centres/reservoir-VIC-3073/doctors-on-broadway/doctors
